From;GroupID;GroupDescription;ParentGroupID;ParentGroupDescription;SubGroupID;SubGroupDescription;ItemID;ItemDescription;ExtendedType
MainGroup;13;Ceiling Finish;;;;;132;Cold Storage Insulation;UsualMaterial
MainGroup;13;Ceiling Finish;;;;;133;Drywall;UsualMaterial
MainGroup;13;Ceiling Finish;;;;;134;Drywall, Vinyl Covered;UsualMaterial
MainGroup;13;Ceiling Finish;;;;;135;Paint;UsualMaterial
MainGroup;13;Ceiling Finish;;;;;136;Paneling, Wood;UsualMaterial
MainGroup;13;Ceiling Finish;;;;;137;Plaster, Sprayed;UsualMaterial
MainGroup;13;Ceiling Finish;;;;;138;Plaster, on Lath;UsualMaterial
MainGroup;13;Ceiling Finish;;;;;139;Plywood / Hardwood / Fiberboard;UsualMaterial
MainGroup;13;Ceiling Finish;;;;;140;Suspended Acoustical;UsualMaterial
MainGroup;13;Ceiling Finish;;;;;141;Textured Finish;UsualMaterial
MainGroup;13;Ceiling Finish;;;;;142;Tile, Acoustical;UsualMaterial
MainGroup;13;Ceiling Finish;;;;;143;Tile, Cork;UsualMaterial
MainGroup;13;Ceiling Finish;;;;;144;Tile, Metal;UsualMaterial
MainGroup;13;Ceiling Finish;;;;;145;Wallpaper, Vinyl;UsualMaterial
MainGroup;13;Ceiling Finish;;;;;309;None;NoneMaterial
MainGroup;14;Cooling;;;;;147;Chilled Water, with Air Handling Units;UsualMaterial
MainGroup;14;Cooling;;;;;148;Chilled Water, with Fan Coil Units;UsualMaterial
MainGroup;14;Cooling;;;;;149;Evaporative Cooler;UsualMaterial
MainGroup;14;Cooling;;;;;150;Forced Cool Air;UsualMaterial
MainGroup;14;Cooling;;;;;151;Heat Pump;UsualMaterial
MainGroup;14;Cooling;;;;;152;Rooftop Unit;UsualMaterial
MainGroup;14;Cooling;;;;;153;Thru-Wall Units;UsualMaterial
MainGroup;14;Cooling;;;;;154;Unit Air Conditioners, Air Cooled;UsualMaterial
MainGroup;14;Cooling;;;;;155;Unit Air Conditioners, Water Cooled;UsualMaterial
